,Compound,Date,Negative Score,Neutral Score,Positive Score,Text,Tweets Ago,Username
0,0.7227,Sat Oct 06 21:04:05 +0000 2018,0.0,0.79,0.21,"Franklin and his gang are now the main dealers in the area but success brings new problems...

#Snowfall | 10:50pm… https://t.co/ZBmiDiGpWy",1,@BBC
1,-0.1027,Sat Oct 06 19:31:09 +0000 2018,0.202,0.649,0.149,"A poetic account of the Troubles in Northern Ireland, told through the stories of people who lost loved ones during… https://t.co/ZMdNqwA6QJ",2,@BBC
2,0.0,Sat Oct 06 18:06:06 +0000 2018,0.0,1.0,0.0,Most polite stag do ever 😂 https://t.co/Vdz6abFUA5,3,@BBC
3,0.0,Sat Oct 06 17:07:02 +0000 2018,0.0,1.0,0.0,A horse walks into a bar... https://t.co/0e9rcMyq26,4,@BBC
4,0.4939,Sat Oct 06 16:05:06 +0000 2018,0.0,0.819,0.181,"Hundreds of sculptures lie at the bottom of the sea in Cancun, where they play an important role in conservation. https://t.co/elKcb1ArXb",5,@BBC
5,-0.5574,Sat Oct 06 15:54:44 +0000 2018,0.265,0.735,0.0,RT @BBCNewsEnts: Opera singer Montserrat Caballé has died at 85 https://t.co/XjCDKCe3Wo,6,@BBC
6,0.0,Sat Oct 06 15:32:00 +0000 2018,0.0,1.0,0.0,"These caves in rural Italy have been transformed into hotel rooms. 😍🇮🇹

#Mediterranean with @Simon_Reeve starts on… https://t.co/odrZvluN8x",7,@BBC
7,-0.4189,Sat Oct 06 15:11:07 +0000 2018,0.238,0.655,0.108,"Please can everyone stop drinking their own urine?
It’s really not very good for you.
👉 https://t.co/gJwPTW9aiI https://t.co/E8aW02uYqp",8,@BBC
8,0.0,Sat Oct 06 14:06:03 +0000 2018,0.0,1.0,0.0,"Going, going, gone!

A Banksy artwork shredded itself after it was sold for more than £1m at Sotheby's in London.… https://t.co/Qm7OwhiXT5",9,@BBC
9,-0.4939,Sat Oct 06 13:10:02 +0000 2018,0.225,0.775,0.0,❤️ George Shelley opens up about grief and how to cope. https://t.co/4SajjiJI6e,10,@BBC
10,-0.4588,Sat Oct 06 12:08:01 +0000 2018,0.231,0.769,0.0,Footage shows hundreds of tents abandoned by people after #LeedsFestival… https://t.co/VPTNlAVId4,11,@BBC
11,0.5095,Sat Oct 06 11:07:05 +0000 2018,0.127,0.586,0.288,"🎓 Losing friends, moving home and being broke... what's life after university really like?
👉 https://t.co/5sabryzvbw https://t.co/9x23y45XtO",12,@BBC
12,-0.128,Sat Oct 06 10:03:00 +0000 2018,0.154,0.711,0.134,"✉️ @StephenFry reads the letters of Otto von Wächter, a senior Austrian Nazi who escaped justice after the war.

Li… https://t.co/eadlYB4D0K",13,@BBC
13,-0.4767,Sat Oct 06 09:08:03 +0000 2018,0.205,0.795,0.0,"How a bike accident transformed the lives of thousands of disabled people. 
#BBCInnovators https://t.co/NKOauhKD7M",14,@BBC
14,0.4939,Sat Oct 06 08:07:02 +0000 2018,0.0,0.856,0.144,"✍️ Inspired by the book he famously illustrated 30 years ago, Sir Quentin Blake imagines what Roald Dahl's Matilda… https://t.co/DzXk7J6M2p",15,@BBC
15,0.2732,Sat Oct 06 07:40:34 +0000 2018,0.066,0.823,0.111,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…",16,@BBC
16,0.7003,Sat Oct 06 07:08:02 +0000 2018,0.0,0.655,0.345,"☕️💛 This Amazing Human uses coffee to give homeless people a second chance.

https://t.co/wOc1ce2B3J",17,@BBC
